insert into CHASHKEN.STADIUM (STADIUM_NAME, CAPACITY, COUNTRY, OWNER, MAINTENANCE_MANAGER, FOUND_YEAR, STADIUMID, CITY)
values ('CyberThink', 12676, 'Brazil', 'Mickey Lynne', 'Mickey Lynne', 1974, 1, 'Rio de janeiro');

insert into CHASHKEN.STADIUM (STADIUM_NAME, CAPACITY, COUNTRY, OWNER, MAINTENANCE_MANAGER, FOUND_YEAR, STADIUMID, CITY)
values ('AT&T Corp.', 22983, 'USA', 'Kyle Mars', 'Kyle Mars', 1973, 2, 'Bloomington');

insert into CHASHKEN.STADIUM (STADIUM_NAME, CAPACITY, COUNTRY, OWNER, MAINTENANCE_MANAGER, FOUND_YEAR, STADIUMID, CITY)
values ('Terra Firma', 8870, 'Israel', 'Adrien Bancroft', 'Adrien Bancroft', 1988, 3, 'Ben-Gurion');

insert into CHASHKEN.STADIUM (STADIUM_NAME, CAPACITY, COUNTRY, OWNER, MAINTENANCE_MANAGER, FOUND_YEAR, STADIUMID, CITY)
values ('Gray Hawk Systems', 5947, 'Liechtenstein', 'Owen Tilly', 'Owen Tilly', 2005, 4, 'Eschen');

insert into CHASHKEN.STADIUM (STADIUM_NAME, CAPACITY, COUNTRY, OWNER, MAINTENANCE_MANAGER, FOUND_YEAR, STADIUMID, CITY)
values ('Active Services', 20784, 'Brazil', 'Larry Zeta-Jones', 'Larry Zeta-Jones', 1988, 5, 'Joinville');

insert into CHASHKEN.STADIUM (STADIUM_NAME, CAPACITY, COUNTRY, OWNER, MAINTENANCE_MANAGER, FOUND_YEAR, STADIUMID, CITY)
values ('American Vanguard', 5061, 'Netherlands', 'Ice Rivers', 'Ice Rivers', 2009, 6, 'Maarssen');

insert into CHASHKEN.STADIUM (STADIUM_NAME, CAPACITY, COUNTRY, OWNER, MAINTENANCE_MANAGER, FOUND_YEAR, STADIUMID, CITY)
values ('American Healthways', 18634, 'USA', 'Roberta Michael', 'Roberta Michael', 1977, 7, 'Altamonte Springs');

